tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure,Type of Disease (Bacterial Blight/Telya),Anthracnose,Fruit Spot/ Rot,Fusarium Wilt,Fruit Borer / Blight Blora
34,25,7,1009,0.0,5,10.4,31,0,0,0,0,0
28,33,8,1007,0.0,5,9.1,45,0,0,0,0,0
31,52,8,1000,0.5333333333333329,1,6.2,60,1,0,0,0,0
22,92,16,1004,0.266666666666666,3,3.9,50,0,0,0,0,1
23,35,6,1014,0.0,5,9.8,45,0,0,0,0,0
26,60,5,1011,0.2,3,9.1,50,1,1,0,0,0
24,83,9,1010,0.0999999999999999,3,9.1,56,0,0,0,0,1
23,87,11,1006,0.5333333333333329,1,3.8,75,0,0,1,1,0
23,45,7,1015,0.0,5,10.1,42,0,0,0,0,0
29,24,10,1011,0.0,5,10.7,31,0,0,0,0,0
25,79,19,1004,0.1,3,3.8,50,1,1,0,0,0
29,21,5,1011,0.0,5,10.7,34,0,0,0,0,0
23,89,10,1005,0.0666666666666666,3,3.9,65,0,0,1,0,1
24,76,14,1009,0.0666666666666666,3,5.4,53,0,0,0,0,0
23,84,13,1006,0.0333333333333333,3,5.4,55,0,0,0,0,1
30,21,5,1011,0.0,5,10.7,30,0,0,0,0,0
31,49,15,1003,0.0,5,6.2,32,0,0,0,0,0
26,68,18,1009,0.0666666666666666,3,6.2,45,1,1,0,0,0
24,45,8,1013,0.0,4,9.7,42,0,0,0,0,0
25,83,5,1009,0.0999999999999999,3,9.1,50,1,0,0,0,1
22,36,7,1014,0.0,5,9.6,44,0,0,0,0,0
27,16,11,1007,0.0,5,10.1,42,0,0,0,0,0
25,78,16,1003,0.0999999999999999,3,6.2,50,1,1,0,0,0
24,44,11,1013,0.0,4,9.8,43,0,0,0,0,0
27,24,5,1013,0.0,5,9.8,45,0,0,0,0,0
30,23,15,1010,0.0,4,10.7,33,0,0,0,0,0
21,36,10,1015,0.0,5,9.6,42,0,0,0,0,0
29,38,13,1006,0.0,5,11.2,31,0,0,0,0,0
25,68,6,1014,0.0,5,9.7,45,0,0,0,0,0
26,35,15,1017,0.0,5,10.1,45,0,0,0,0,0
25,86,9,1005,0.5,1,3.9,65,1,0,1,0,1
25,86,19,1007,0.4,3,5.4,60,1,0,1,0,1
34,25,9,1006,0.0,5,10.4,30,0,0,0,0,0
25,47,12,1013,0.0,5,9.1,53,0,0,0,0,0
25,78,14,1006,0.0666666666666666,3,3.9,50,1,1,0,0,0
24,33,11,1013,0.0,5,9.8,40,0,0,0,0,0
24,87,12,1006,0.36666666666666603,3,3.8,60,0,0,1,0,1
22,93,12,1004,0.23333333333333303,3,3.9,55,0,0,0,0,1
26,29,9,1012,0.0,5,10.1,45,0,0,0,0,0
24,78,18,1006,0.0,4,3.9,50,0,0,0,0,0
27,49,9,1009,0.0,5,9.1,45,0,0,0,0,0
24,79,15,1005,0.0,3,3.9,50,0,0,0,0,0
24,60,7,1014,0.0,5,9.1,53,0,0,0,0,0
31,25,12,1009,0.0,5,11.2,30,0,0,0,0,0
23,93,5,1007,0.2,3,3.9,65,0,0,1,0,1
30,23,11,1011,0.0,4,11.2,34,0,0,0,0,0
26,73,12,1002,0.5333333333333329,1,3.8,55,1,1,0,0,0
27,26,4,1012,0.0,5,10.1,42,0,0,0,0,0
24,54,6,1011,0.0,5,9.6,42,0,0,0,0,0
24,29,5,1013,0.0,5,9.6,43,0,0,0,0,0
24,78,28,1008,0.1,3,3.9,50,0,0,0,0,0
25,36,5,1013,0.0,5,9.6,40,0,0,0,0,0
29,24,8,1011,0.0,3,10.7,45,1,0,0,0,0
24,79,23,1007,0.0333333333333333,3,3.9,50,0,0,0,0,0
24,68,9,1013,0.0999999999999999,3,9.7,43,0,0,0,0,0
25,52,3,1010,0.0,5,9.7,45,0,0,0,0,0
